Iteration,Time,State,Sojourn Time,Transition From,Transition To
0,6.130168683734196,Clean,6.130168683734196,Clean,Acquisition
1,11.23314759379905,Acquisition,5.102978910064854,Acquisition,Infected
2,11.632828345712916,Infected,0.3996807519138655,Infected,Acquisition
3,17.25164580078297,Acquisition,5.6188174550700545,Acquisition,Clean
4,32.955340773142005,Clean,15.703694972359036,Clean,Acquisition
5,35.88421381093219,Acquisition,2.9288730377901855,Acquisition,Infected
6,39.938262164139225,Infected,4.054048353207034,Infected,Acquisition
7,47.772752674612946,Acquisition,7.834490510473717,Acquisition,Infected
8,49.04636589736705,Infected,1.2736132227541075,Infected,Fraud
9,49.20744507977851,Fraud,0.1610791824114591,Fraud,Infected
10,50.257724788984646,Infected,1.0502797092061407,Infected,Fraud
11,53.58104450743373,Fraud,3.323319718449082,Fraud,Infected
12,54.89798646221878,Infected,1.3169419547850516,Infected,Acquisition
13,61.42236989424795,Acquisition,6.524383432029165,Acquisition,Infected
14,64.03210808747282,Infected,2.6097381932248673,Infected,Acquisition
15,67.68490648911487,Acquisition,3.6527984016420483,Acquisition,Infected
16,69.60663854376806,Infected,1.921732054653189,Infected,Acquisition
17,72.81909446901011,Acquisition,3.2124559252420486,Acquisition,Infected
18,76.42263837015864,Infected,3.6035439011485257,Infected,Fraud
19,78.50332661611937,Fraud,2.080688245960726,Fraud,Fraud
20,80.25619173959304,Fraud,1.7528651234736734,Fraud,Fraud
21,80.75273401800835,Fraud,0.49654227841531284,Fraud,Fraud
22,81.84336591714295,Fraud,1.0906318991345916,Fraud,Fraud
23,82.2030932588574,Fraud,0.35972734171445203,Fraud,Fraud
24,82.71160962716033,Fraud,0.5085163683029421,Fraud,Fraud
25,83.54680375664722,Fraud,0.8351941294868951,Fraud,Fraud
26,87.39692947698984,Fraud,3.850125720342612,Fraud,Fraud
27,87.87687317759939,Fraud,0.4799437006095522,Fraud,Fraud
28,92.50431133307697,Fraud,4.627438155477583,Fraud,Fraud
29,94.07708469276999,Fraud,1.5727733596930153,Fraud,Fraud
30,100.13347319007704,Fraud,6.056388497307055,Fraud,Fraud
31,103.36608019945459,Fraud,3.232607009377539,Fraud,Infected
32,108.70840265001199,Infected,5.342322450557407,Infected,Fraud
33,114.7400546350909,Fraud,6.031651985078915,Fraud,Fraud
34,117.75770058134424,Fraud,3.017645946253341,Fraud,Fraud
35,118.88684038302183,Fraud,1.1291398016775964,Fraud,Fraud
36,122.3468361507992,Fraud,3.459995767777372,Fraud,Fraud
37,124.05944571177008,Fraud,1.7126095609708745,Fraud,Infected
38,127.17673591179654,Infected,3.1172902000264573,Infected,Acquisition
39,134.97270195718983,Acquisition,7.795966045393275,Acquisition,Clean
40,138.55836211875442,Clean,3.585660161564589,Clean,Acquisition
41,143.44422096444183,Acquisition,4.885858845687405,Acquisition,Clean
42,149.00536769830245,Clean,5.561146733860629,Clean,Acquisition
43,161.25941903751794,Acquisition,12.254051339215493,Acquisition,Clean
44,173.80538360304558,Clean,12.545964565527644,Clean,Acquisition
45,177.19356421630957,Acquisition,3.388180613263991,Acquisition,Infected
46,183.14816642637058,Infected,5.954602210061003,Infected,Acquisition
47,186.94571372447058,Acquisition,3.797547298100001,Acquisition,Infected
48,189.53113442526748,Infected,2.585420700796899,Infected,Fraud
49,191.26040951556558,Fraud,1.729275090298106,Fraud,Infected
50,192.58048583341377,Infected,1.3200763178481767,Infected,Fraud
51,193.8444424898901,Fraud,1.2639566564763223,Fraud,Fraud
52,194.04677972565227,Fraud,0.20233723576216478,Fraud,Fraud
53,198.918626531727,Fraud,4.871846806074733,Fraud,Fraud
54,200.90560015652358,Fraud,1.9869736247965804,Fraud,Fraud
55,201.57950046280376,Fraud,0.6739003062801904,Fraud,Fraud
56,205.70186849411851,Fraud,4.1223680313147515,Fraud,Fraud
57,208.28316950118125,Fraud,2.581301007062727,Fraud,Fraud
58,211.57455542946514,Fraud,3.2913859282838933,Fraud,Infected
59,212.75582586154812,Infected,1.1812704320829703,Infected,Fraud
60,213.69920274087622,Fraud,0.9433768793281125,Fraud,Infected
61,214.49239234055776,Infected,0.7931895996815528,Infected,Clean
62,234.33618466659254,Clean,19.843792326034777,Clean,Acquisition
63,237.5423663843747,Acquisition,3.2061817177821723,Acquisition,Clean
64,245.96026292464666,Clean,8.417896540271965,Clean,Acquisition
65,246.34329466056576,Acquisition,0.3830317359190948,Acquisition,Infected
66,248.43313559011378,Infected,2.089840929548008,Infected,Acquisition
67,254.12332722865116,Acquisition,5.690191638537372,Acquisition,Infected
68,258.923404377901,Infected,4.800077149249838,Infected,Fraud
69,259.8474132001983,Fraud,0.9240088222972808,Fraud,Fraud
70,260.4186708029756,Fraud,0.5712576027773205,Fraud,Infected
71,262.8074834536027,Infected,2.3888126506270897,Infected,Acquisition
72,278.00534217744075,Acquisition,15.197858723838056,Acquisition,Infected
73,284.9689647292271,Infected,6.963622551786324,Infected,Acquisition
74,285.876229856453,Acquisition,0.9072651272259151,Acquisition,Infected
75,289.46701246559275,Infected,3.5907826091397466,Infected,Clean
76,304.1759519015804,Clean,14.708939435987636,Clean,Acquisition
77,309.4629064295756,Acquisition,5.286954527995206,Acquisition,Infected
78,309.9847418263449,Infected,0.5218353967693143,Infected,Clean
79,334.1382049460275,Clean,24.15346311968262,Clean,Acquisition
80,339.84384829259074,Acquisition,5.705643346563237,Acquisition,Clean
81,352.6297091022774,Clean,12.785860809686643,Clean,Acquisition
82,362.0871233098501,Acquisition,9.457414207572711,Acquisition,Infected
83,370.05596529297645,Infected,7.968841983126361,Infected,Fraud
84,371.88533740206424,Fraud,1.8293721090877897,Fraud,Fraud
85,373.74758961452267,Fraud,1.8622522124584169,Fraud,Infected
86,381.9128145917204,Infected,8.165224977197738,Infected,Acquisition
87,391.83443532040644,Acquisition,9.921620728686039,Acquisition,Infected
88,395.93580996708545,Infected,4.101374646678982,Infected,Acquisition
89,398.001949198819,Acquisition,2.0661392317335343,Acquisition,Infected
90,399.42069966563724,Infected,1.4187504668182567,Infected,Acquisition
91,401.4943560855439,Acquisition,2.0736564199067042,Acquisition,Clean
92,406.2845422116599,Clean,4.790186126115997,Clean,Acquisition
93,411.5436146681268,Acquisition,5.259072456466858,Acquisition,Infected
94,412.059186510041,Infected,0.5155718419141827,Infected,Acquisition
95,414.90845358025274,Acquisition,2.8492670702117358,Acquisition,Infected
96,418.83451040247763,Infected,3.9260568222249073,Infected,Acquisition
97,419.9246888323738,Acquisition,1.0901784298961885,Acquisition,Clean
